"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C3,C4,C5,C7,C12","100n","~","Capacitor_SMD:C_0402_1005Metric","7",""
"C6","10u","~","Capacitor_SMD:C_0805_2012Metric","1",""
"C8,C9","33p","~","Capacitor_SMD:C_0402_1005Metric","2",""
"C10,C11","1u","~","Capacitor_SMD:C_0805_2012Metric","2",""
"D1","GR","~","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","1",""
"J1","Conn_01x04_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"P1","USB_C_Plug_USB2.0","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","","1",""
"R1,R2,R3","4k7","~","Resistor_SMD:R_0402_1005Metric","3",""
"R4","2k2","~","Resistor_SMD:R_0402_1005Metric","1",""
"R5,R6","10k","~","Resistor_SMD:R_0402_1005Metric","2",""
"SW2","SW_Push","~","Button_Switch_SMD:SW_Push_1P1T_XKB_TS-1187A","1",""
"U1","STM32F072CBUx","https://www.st.com/resource/en/datasheet/stm32f072cb.pdf","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","1",""
"U2","ATECC608B-MAHDA","https://ww1.microchip.com/downloads/aemDocuments/documents/SCBU/ProductDocuments/DataSheets/ATECC608B-CryptoAuthentication-Device-Summary-Data-Sheet-DS40002239B.pdf","Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm","1",""
"U3","MCP1700x-330xxTT","http://ww1.microchip.com/downloads/en/DeviceDoc/20001826D.pdf","Package_TO_SOT_SMD:SOT-23","1",""
"U4","USBLC6-2SC6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","Package_TO_SOT_SMD:SOT-23-6","1",""
"Y1","8MHz","~","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","1",""
