"Reference","Value","Footprint","Qty","Manufacturer","Manufacturer Part Number","Distributer Link","LCSC"
"C1,C11,C12","10u","Capacitor_SMD:C_0603_1608Metric","3","SANYEAR","C0603X5R106M160NT","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SANYEAR-C0603X5R106M160NT_C466781.html","C466781"
"C2,C3,C4,C5,C6,C7,C10","100n","Capacitor_SMD:C_0402_1005Metric","7","HRE","CGA0402X7R104K160GT","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_HRE-CGA0402X7R104K160GT_C6119799.html","C6119799"
"C8,C9","33p","Capacitor_SMD:C_0402_1005Metric","2","CCTC","TCC0402COG330J500AT","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_CCTC-TCC0402COG330J500AT_C696910.html","C696910"
"D1","GR","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","1","XINGLIGHT","XL-1608SURC-06","https://www.lcsc.com/product-detail/Light-Emitting-Diodes-LED_XINGLIGHT-XL-1608SURC-06_C965799.html","C965799"
"J1","Conn_01x04_Pin","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1","CONNFLY","DS1021-1x4SF11-B","https://www.lcsc.com/product-detail/Pin-Headers_CONNFLY-Elec-DS1021-1x4SF11-B_C7430360.html","C7430360"
"P1","USB_C_Plug_USB2.0","type-c:TYPE-C-31-G-01","1","Korean Hroparts Elec","TYPE-C-31-G-01","https://www.lcsc.com/product-detail/USB-Connectors_Korean-Hroparts-Elec-TYPE-C-31-G-01_C530605.html","C530605"
"R1,R5","10k","Resistor_SMD:R_0402_1005Metric","2","YAGEO","RC0402FR-0710KL","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0402FR-0710KL_C60490.html","C60490"
"R2,R3,R4","4k7","Resistor_SMD:R_0402_1005Metric","3","UNI-ROYAL(Uniroyal Elec)","0402WGJ0472TCE","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_UNI-ROYAL-Uniroyal-Elec-0402WGJ0472TCE_C25940.html","C25940"
"R6","68","Resistor_SMD:R_0402_1005Metric","1","FOJAN","FRC0402J680 TS","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRC0402J680-TS_C2906961.html","C2906961"
"SW1","SW_Push","Button_Switch_SMD:SW_Push_1P1T_XKB_TS-1187A","1","XKB Connection","TS-1187A-B-A-B","https://www.lcsc.com/product-detail/Tactile-Switches_XKB-Connection-TS-1187A-B-A-B_C318884.html","C318884"
"U1","STM32F072CBUx","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","1","STMicroelectronics","STM32F072CBU6","https://www.lcsc.com/product-detail/Microcontrollers-MCU-MPU-SOC_STMicroelectronics-STM32F072CBU6_C92504.html","C92504"
"U2","ATECC608B-MAHDA","Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm","1","Microchip Tech","ATECC608B-MAHDA-S","https://www.lcsc.com/product-detail/Security-Verification-Encryption-ICs_Microchip-Tech-ATECC608B-MAHDA-S_C1518773.html","C1518773"
"U3","MCP1700x-330xxTT","Package_TO_SOT_SMD:SOT-23","1","Microchip Tech","MCP1700T-3302E/TT","https://www.lcsc.com/product-detail/Voltage-Regulators-Linear-Low-Drop-Out-LDO-Regulators_Microchip-Tech-MCP1700T-3302E-TT_C39051.html","C39051"
"U4","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","1","STMicroelectronics","USBLC6-2SC6","https://www.lcsc.com/product-detail/ESD-and-Surge-Protection-TVS-ESD_STMicroelectronics-USBLC6-2SC6_C7519.html","C7519"
"Y1","8MHz","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","1","Yajingxin","TAXM8M4RLBDDT2T","https://www.lcsc.com/product-detail/Crystals_Yajingxin-TAXM8M4RLBDDT2T_C720915.html","C720915"
